t		Dm = 8 sig = 0.2		Dm = 8 sig = 0.5		Dm =10 sig = 0.2		Dm = 10 sig = 0.5
0		0.023255193		0.023255193		0.023255193		0.023255193
0.1		0.026850528		0.026850528		0.026850528		0.026850528
0.2		0.036411272		0.036411272		0.036411272		0.036411272
0.3		0.0306136		0.0306136		0.0306136		0.0306136
0.4		0.027485668		0.027485668		0.027485668		0.027485668
0.5		0.026400941		0.026400941		0.026400941		0.026400941
0.6		0.026838146		0.026838146		0.026838146		0.026838146
0.7		0.027392725		0.027392725		0.027392725		0.027392725
0.8		0.027175202		0.027175202		0.027175202		0.027175202
0.9		0.026850647		0.026850647		0.026850647		0.026850647
1		0.017951024		0.018157422		0.017028671		0.016969515
1.1		0.003982167		0.004132476		0.002678331		0.002956188
1.2		0.00393592		0.004287789		0.001975799		0.002756253
1.3		0.003745009		0.003957673		0.000974118		0.00145884
1.4		0.002463328		0.002937498		4.18E-05		0.000692042
1.5		0.001645297		0.003804021		5.38E-05		0.000337735
1.6		0.001587041		0.003820101		6.23E-05		0.000369218
1.7		0.001497617		0.003135154		5.30E-05		0.00032563
1.8		0.001435391		0.002950117		6.13E-05		0.000434336
1.9		0.001373979		0.003287775		6.51E-05		0.000467741
2		0.001380136		0.003926385		7.37E-05		0.000521454
2.1		0.000711184		0.002675944		6.71E-05		0.00045518
2.2		0.000103858		0.00096373		6.43E-05		0.000398699
2.3		0.000106645		0.000600355		7.72E-05		0.000470158
2.4		0.000182512		0.000999902		4.76E-05		0.000290483
2.5		0.000155771		0.001032474		5.83E-05		0.000382091
2.6		0.000119467		0.000788964		6.72E-05		0.000438648
2.7		0.000132362		0.001035508		5.72E-05		0.000388033
2.8		0.000154544		0.001189255		4.82E-05		0.000394567
2.9		0.000139312		0.001139629		5.78E-05		0.000472091
3		0.000112981		0.000815199		4.30E-05		0.000316283
3.1		7.76E-05		0.000593779		3.65E-05		0.000220395
3.2		8.49E-05		0.000494777		6.01E-05		0.000342168
3.3		0.000191167		0.001004308		8.56E-05		0.000540124
3.4		0.000115434		0.001197329		6.75E-05		0.000421985
3.5		8.49E-05		0.000737027		6.40E-05		0.000456761
3.6		0.000102397		0.000772362		8.19E-05		0.000635901
3.7		0.000179889		0.001311953		0.00010666		0.000607468
3.8		0.000154684		0.001399907		7.17E-05		0.000392816
3.9		7.39E-05		0.000592834		5.33E-05		0.000305599
4		6.45E-05		0.000459814		5.43E-05		0.000319668
4.1		0.000125238		0.000781975		7.01E-05		0.00046083
4.2		0.000290358		0.001430838		8.01E-05		0.000557472
4.3		0.000128361		0.001267301		8.95E-05		0.000793017
4.4		9.73E-05		0.001136973		0.000100771		0.000914182
4.5		0.000121702		0.000994825		7.78E-05		0.000608395
4.6		0.000261294		0.001505081		8.82E-05		0.000536466
4.7		0.000118241		0.001038887		5.98E-05		0.000375466
4.8		8.17E-05		0.000606048		4.94E-05		0.000310014
4.9		9.49E-05		0.000529023		4.33E-05		0.000257247
5		0.000154623		0.001249286		9.82E-05		0.0006056
5.1		0.000174704		0.002283557		8.90E-05		0.000556141
5.2		9.64E-05		0.001038746		8.37E-05		0.000515502
5.3		9.01E-05		0.000637106		8.08E-05		0.000518767
5.4		0.000145524		0.001355733		8.67E-05		0.000517698
5.5		0.000163216		0.002775125		7.63E-05		0.000448501
5.6		9.66E-05		0.00164758		5.22E-05		0.000331062
5.7		8.77E-05		0.001496469		4.71E-05		0.000304862
5.8		0.000116241		0.001685687		6.10E-05		0.000412457
5.9		0.000210189		0.00204524		8.01E-05		0.000599722
6		0.000141604		0.001026619		7.76E-05		0.000561332
6.1		0.000139623		0.001017682		7.77E-05		0.00056275
6.2		0.000139373		0.001017264		7.83E-05		0.000568781
6.3		0.000139189		0.00101534		7.82E-05		0.00056869
6.4		0.000139024		0.001011441		7.73E-05		0.000562577
6.5		0.000140262		0.00101828		7.69E-05		0.00056023
6.6		0.000140308		0.001026659		7.71E-05		0.000561945
6.7		0.000141483		0.001032018		7.76E-05		0.000565045
6.8		0.000140978		0.001024898		7.68E-05		0.000560456
6.9		0.000140584		0.001011917		7.65E-05		0.000559932
7		0.00013867		0.000992479		7.63E-05		0.000557558
7.1		0.00013735		0.000981598		7.58E-05		0.000558762
7.2		0.000137305		0.000979998		7.61E-05		0.000564616
7.3		0.000138699		0.000985671		7.70E-05		0.000570286
7.4		0.000138409		0.000978089		7.66E-05		0.000565262
7.5		0.000137196		0.000974092		7.63E-05		0.00056281
7.6		0.000137201		0.000970272		7.68E-05		0.000566003
7.7		0.000137898		0.000968749		7.79E-05		0.000575384
7.8		0.000136949		0.000972276		7.87E-05		0.000575558
7.9		0.000135622		0.000966361		7.81E-05		0.000567027
8		0.000135512		0.000965306		7.79E-05		0.000565545
8.1		0.000136711		0.000972252		7.90E-05		0.000575101
8.2		0.000138772		0.000983448		7.97E-05		0.000587798
8.3		0.00013956		0.000986577		7.93E-05		0.000590289
8.4		0.000138677		0.000986219		7.88E-05		0.000587327
8.5		0.000138451		0.000971528		7.92E-05		0.000589548
8.6		0.000136562		0.000958485		7.98E-05		0.000581021
8.7		0.000133763		0.000940613		7.84E-05		0.000565813
8.8		0.000131783		0.000930725		7.73E-05		0.000559533
8.9		0.000132983		0.000932358		7.80E-05		0.000564263
9		0.000134507		0.000928228		7.97E-05		0.000570317
