t		SE_nodrifter		SE_drifter
0		246.3227043		246.3227043
0.01		296.6482385		416.1324747
0.02		482.9357077		270.3990163
0.03		662.7078021		190.6000773
0.04		800.8387701		111.3112688
0.05		897.927806		138.2500809
0.06		963.5734508		129.5085301
0.07		1006.944111		141.8219703
0.08		1035.280511		96.39483588
0.09		1053.654821		104.7313099
0.1		1065.497477		91.42958043
0.11		1073.146669		57.12211787
0.12		1078.079245		46.6807974
0.13		1081.256348		31.56963691
0.14		1083.29155		26.69216688
0.15		1084.585813		20.13622982
0.16		1085.39663		16.25196227
0.17		1085.897438		15.62530502
0.18		1086.190053		12.35285714
0.19		1086.351735		12.04189095
0.2		1086.423302		8.720878561
0.21		1086.437202		8.458966891
0.22		1086.410631		7.355453856
0.23		1086.347166		6.899703777
0.24		1086.265378		5.554060004
0.25		1086.177071		5.451619386
0.26		1086.089148		4.802731823
0.27		1086.004151		5.205571773
0.28		1085.836063		4.522908785
0.29		1085.7765		4.612145057
0.3		1085.765342		4.203475972
0.31		1085.739482		3.992686636
0.32		1085.801413		3.789776689
0.33		1085.905265		3.619449186
0.34		1086.028466		3.415289884
0.35		1086.172403		3.353077482
0.36		1086.324932		3.019937459
0.37		1086.481032		3.109931372
0.38		1086.630834		2.82016382
0.39		1086.771649		2.919636246
0.4		1086.90045		2.526370335
0.41		1087.005363		2.750952305
0.42		1087.1054		2.413319889
0.43		1087.038249		2.58585881
0.44		1087.059619		2.198232145
0.45		1087.117862		2.46315923
0.46		1087.181047		2.030515079
0.47		1087.264987		2.313092372
0.48		1087.363379		1.964077296
0.49		1087.462429		2.215374841
0.5		1087.579437		1.868601461
0.51		1087.711084		2.063770632
0.52		1087.88709		1.807563896
0.53		1088.094377		1.993447985
0.54		1088.353556		1.797975783
0.55		1088.661435		1.924636935
0.56		1089.028808		1.74864018
0.57		1089.436017		1.914511447
0.58		1089.871434		1.640455623
0.59		1090.337209		1.743468568
0.6		1090.78709		1.28025648
0.61		1091.290755		1.494643232
0.62		1091.828019		0.848455287
0.63		1092.399037		0.92188022
0.64		1092.995947		0.547690294
0.65		1093.500768		0.422630072
0.66		1094.104398		0.326509653
0.67		1094.748378		0.339813701
0.68		1095.432112		0.274850313
0.69		1096.108488		0.289503458
0.7		1096.790412		0.233417375
0.71		1097.451138		0.230609906
0.72		1098.072963		0.189368445
0.73		1098.667885		0.18779436
0.74		1099.241408		0.177699304
0.75		1099.76779		0.175914098
0.76		1100.241628		0.159072089
0.77		1100.653318		0.151418407
0.78		1101.002253		0.140278338
0.79		1101.287648		0.139285664
0.8		1101.482925		0.125943274
0.81		1101.412087		0.131437096
0.82		1101.390276		0.118329939
0.83		1101.340219		0.12235802
0.84		1101.283306		0.105026118
0.85		1101.191922		0.108348052
0.86		1101.101107		0.09561751
0.87		1101.014812		0.10152092
0.88		1100.921211		0.091829901
0.89		1100.836796		0.096052696
0.9		1100.718352		0.09160264
0.91		1100.630643		0.093078919
0.92		1100.576293		0.091757505
0.93		1100.549026		0.086046043
0.94		1100.57857		0.085491154
0.95		1100.680073		0.083562754
0.96		1100.839753		0.08232582
0.97		1101.063908		0.082196167
0.98		1101.351525		0.080268512
0.99		1101.705293		0.0805832
1		1102.10641		0.07844253
1.01		1102.575506		0.07984097
1.02		1103.106169		0.076749233
1.03		1103.714238		0.076423227
1.04		1104.367485		0.07757673
1.05		1105.139784		0.078469829
1.06		1105.973172		0.080175529
1.07		1106.848069		0.075127305
1.08		1107.76962		0.077056191
1.09		1108.732987		0.07318627
1.1		1109.404185		0.07356383
1.11		1110.265422		0.067855795
1.12		1111.232594		0.066252601
1.13		1112.224344		0.060593447
1.14		1113.157305		0.06188337
1.15		1114.0845		0.057089389
1.16		1114.971559		0.057493207
1.17		1115.781696		0.056368486
1.18		1116.489892		0.056044296
1.19		1117.095209		0.055860857
1.2		1117.582171		0.051850802
1.21		1117.9615		0.0524578
1.22		1118.223679		0.051229532
